,School_name,School,Province,Year,Type,Spname,Max,Min,Average,Min_section,Info,Level1_name,Level2_name,Level3_name,Zslx_name,Local_batch_name,Sg_info,Sg_xuanke
0,复旦大学,132,54,2021,文科,中国语言文学类,0,632,0,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
1,复旦大学,132,54,2021,文科,社会科学试验班,0,502,0,0,无,本科,无,无,普通类,本科一批,无,无
2,复旦大学,132,54,2021,文科,新闻传播学类,0,498,0,0,无,本科,文学,新闻传播学类,普通类,本科一批,无,无
3,中山大学,104,54,2022,文科,经济学,0,582,583.50,0,无,本科,经济学,经济学类,普通类,本科一批,无,无
4,中山大学,104,54,2022,文科,公共管理类（行政管理、政治学与行政学）,0,556,567,0,无,本科,管理学,公共管理类,普通类,本科一批,无,无
5,中山大学,104,54,2022,文科,图书情报与档案管理类（信息管理与信息系统、图书馆学、档案学）,0,430,430,0,无,本科,管理学,图书情报与档案管理类,普通类,本科一批,无,无
6,中山大学,104,54,2022,理科,计算机类（智能科学与技术、交通工程）,0,637,637,0,无,本科,工学,计算机类,普通类,本科一批,无,无
7,中山大学,104,54,2022,理科,经济学类（经济学、金融学）,0,619,619,0,无,本科,经济学,经济学类,普通类,本科一批,无,无
8,中山大学,104,54,2022,理科,临床医学,0,543,601.50,0,无,本科,医学,临床医学类,普通类,本科一批,无,无
9,中山大学,104,54,2022,理科,预防医学,0,466,466,0,无,本科,医学,公共卫生与预防医学类,普通类,本科一批,无,无
10,华南理工大学,105,54,2020,文科,法学类,0,588,0,0,无,本科,法学,法学类,普通类,本科一批,无,无
11,华南理工大学,105,54,2020,文科,法学类（少数民族）,0,413,0,0,无,本科,法学,法学类,普通类,本科一批,无,无
12,华南理工大学,105,54,2021,文科,法学类,593,593,593,0,无,本科,法学,法学类,普通类,本科一批,无,无
13,华南理工大学,105,54,2021,文科,法学类,402,402,402,0,无,本科,法学,法学类,普通类,国家专项计划本科批,无,无
14,华南理工大学,105,54,2022,文科,新闻传播学类,418,418,418,0,无,本科,文学,新闻传播学类,普通类,国家专项计划本科批,无,无
15,华南理工大学,105,54,2022,文科,法学类,0,406,445,0,无,本科,法学,法学类,普通类,本科一批,无,无
16,吉林大学,122,54,2020,理科,预防医学（五年）,619,617,618,0,无,本科,医学,公共卫生与预防医学类,普通类,本科一批,无,无
17,吉林大学,122,54,2020,理科,护理学（国家专项）,616,616,616,0,无,本科,医学,护理学类,普通类,本科一批,无,无
18,吉林大学,122,54,2020,理科,机械类（含机械工程、工业工程、工程力学、智能制造工程）,620,613,616,0,无,本科,工学,机械类,普通类,本科一批,无,无
19,吉林大学,122,54,2020,理科,食品科学与工程类（含食品科学与工程、食品质量与安全）,620,609,616,0,无,本科,工学,食品科学与工程类,普通类,本科一批,无,无
20,吉林大学,122,54,2020,文科,法学,593,593,593,0,无,本科,法学,法学类,普通类,本科一批,无,无
42,郑州大学,62,54,2021,理科,法学类（汉族）,542,542,0,0,无,本科,法学,法学类,普通类,本科一批,无,无
43,郑州大学,62,54,2021,理科,管理科学与工程类（汉族）,545,531,0,0,无,本科,管理学,管理科学与工程类,普通类,本科一批,无,无
44,郑州大学,62,54,2021,理科,法学类（少数民族）,381,381,0,0,无,本科,法学,法学类,普通类,本科一批,无,无
45,郑州大学,62,54,2021,文科,中国语言文学类（汉族）,579,561,0,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
46,郑州大学,62,54,2021,文科,马克思主义理论类（汉族）,549,549,0,0,无,本科,法学,马克思主义理论类,普通类,本科一批,无,无
47,郑州大学,62,54,2021,文科,马克思主义理论类（少数民族）,415,415,0,0,无,本科,法学,马克思主义理论类,普通类,本科一批,无,无
48,郑州大学,62,54,2021,文科,哲学（少数民族）,401,401,0,0,无,本科,哲学,哲学类,普通类,本科一批,无,无
49,暨南大学,106,54,2021,文科,行政管理,526,422,474,0,无,本科,管理学,公共管理类,普通类,本科一批,无,无
50,暨南大学,106,54,2021,文科,汉语言文学,464,400,432,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
51,暨南大学,106,54,2021,文科,历史学,386,386,386,0,无,本科,历史学,历史学类,普通类,本科一批,无,无
52,暨南大学,106,54,2021,文科,财务管理,423,373,398,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
53,暨南大学,106,54,2021,理科,法学,473,421,447,0,无,本科,法学,法学类,普通类,本科一批,无,无
54,暨南大学,106,54,2021,理科,广播电视学,441,413,427,0,无,本科,文学,新闻传播学类,普通类,本科一批,无,无
55,暨南大学,106,54,2021,理科,工商管理,448,395,421.50,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
56,暨南大学,106,54,2021,理科,市场营销,442,382,412,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
57,对外经济贸易大学,53,54,2020,文科,法学,411,411,0,0,无,本科,法学,法学类,普通类,本科一批,无,无
58,对外经济贸易大学,53,54,2020,理科,国际政治,635,635,0,0,无,本科,法学,政治学类,普通类,本科一批,无,无
59,对外经济贸易大学,53,54,2020,理科,政治学与行政学,635,635,0,0,无,本科,法学,政治学类,普通类,本科一批,无,无
60,中国海洋大学,61,54,2022,理科,法学,0,530,542,0,无,本科,法学,法学类,普通类,本科一批,无,无
61,中国海洋大学,61,54,2022,理科,工商管理,0,524,525,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
62,中国海洋大学,61,54,2022,文科,新闻传播学类,0,550,550,0,无,本科,文学,新闻传播学类,普通类,本科一批,无,无
63,中国石油大学（华东）,120,54,2022,理科,管理科学与工程类,471,471,471,0,无,本科,管理学,管理科学与工程类,普通类,本科一批,无,无
64,中国石油大学（华东）,120,54,2022,理科,油气储运工程,483,461,472,0,无,本科,工学,矿业类,普通类,本科一批,无,无
65,中国石油大学（华东）,120,54,2022,理科,资源勘查工程,459,446,452.50,0,无,本科,工学,地质类,普通类,本科一批,无,无
66,中南财经政法大学,414,54,2021,文科,经济学类,590,590,590,0,无,本科,经济学,经济学类,普通类,本科一批,无,无
67,中南财经政法大学,414,54,2021,文科,法学类,595,418,486.20,0,无,本科,法学,法学类,普通类,本科一批,无,无
68,中南财经政法大学,414,54,2021,文科,工商管理类（财务会计）,581,417,499,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
69,中南财经政法大学,414,54,2021,理科,经济学类,573,573,573,0,无,本科,经济学,经济学类,普通类,本科一批,无,无
70,中南财经政法大学,414,54,2021,理科,工商管理类（财务会计）,565,392,478.50,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
71,中南财经政法大学,414,54,2021,理科,法学类,0,390,462,0,无,本科,法学,法学类,普通类,本科一批,无,无
72,西北农林科技大学,332,54,2021,理科,食品科学与工程类,606,560,583,0,无,本科,工学,食品科学与工程类,普通类,本科一批,无,无
73,西北农林科技大学,332,54,2021,理科,机械类,547,542,544.60,0,无,本科,工学,机械类,普通类,本科一批,无,无
74,西北农林科技大学,332,54,2021,理科,生物科学类,536,527,530.60,0,无,本科,理学,生物科学类,普通类,本科一批,无,无
75,西北农林科技大学,332,54,2021,理科,水利类,540,524,532,0,无,本科,工学,水利类,普通类,本科一批,无,无
76,西北农林科技大学,332,54,2021,理科,食品科学与工程类（内地班）,450,413,431.50,0,无,本科,工学,食品科学与工程类,普通类,本科一批,无,无
77,西北农林科技大学,332,54,2021,理科,水利类（内地班）,455,390,422.50,0,无,本科,工学,水利类,普通类,本科一批,无,无
78,西北农林科技大学,332,54,2021,理科,水土保持与荒漠化防治（内地班）,436,386,411,0,无,本科,农学,自然保护与环境生态类,普通类,本科一批,无,无
79,西北农林科技大学,332,54,2021,理科,林学类（内地班）,398,366,382,0,无,本科,农学,林学类,普通类,本科一批,无,无
80,西北农林科技大学,332,54,2021,理科,化学类（内地班）,490,364,427,0,无,本科,理学,化学类,普通类,本科一批,无,无
81,西北农林科技大学,332,54,2021,理科,农学（农学类）（内地班）,424,362,393,0,无,本科,农学,植物生产类,普通类,本科一批,无,无
82,西北农林科技大学,332,54,2021,理科,农学（农学类）,526,352,443.20,0,无,本科,农学,植物生产类,普通类,本科一批,无,无
83,西北农林科技大学,332,54,2021,理科,工商管理类（内地班）,404,352,378,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
84,西北农林科技大学,332,54,2021,理科,植物保护,370,342,356,0,无,本科,农学,植物生产类,普通类,本科一批,无,无
85,西北农林科技大学,332,54,2021,理科,林业工程类,534,341,443.20,0,无,本科,工学,林业工程类,普通类,本科一批,无,无
86,西北农林科技大学,332,54,2021,理科,动物医学类,0,330,405.30,0,无,本科,农学,动物医学类,普通类,本科一批,无,无
87,西北农林科技大学,332,54,2021,理科,葡萄与葡萄酒工程,0,328,432,0,无,本科,工学,食品科学与工程类,普通类,本科一批,无,无
88,西北农林科技大学,332,54,2021,理科,工商管理类,525,328,428.20,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
89,西北农林科技大学,332,54,2021,理科,动物医学类,528,528,528,0,无,本科,农学,动物医学类,普通类,国家专项计划本科批,无,无
90,西北农林科技大学,332,54,2021,理科,动物科学（动物类）,519,353,436,0,无,本科,农学,动物生产类,普通类,国家专项计划本科批,无,无
91,云南大学,35,54,2020,文科,民族学（少数民族线）,0,378,378,0,（少数民族线）,本科,法学,民族学类,普通类,本科一批,无,无
92,云南大学,35,54,2020,理科,电子信息类（汉族线）,0,588,588,0,（汉族线）,本科,工学,电子信息类,普通类,本科一批,无,无
93,云南大学,35,54,2020,理科,计算机类（汉族线）,0,587,587,0,（汉族线）,本科,工学,计算机类,普通类,本科一批,无,无
94,云南大学,35,54,2020,理科,城乡规划（少数民族线）,0,345,345,0,（少数民族线）,本科,工学,建筑类,普通类,本科一批,无,无
95,云南大学,35,54,2020,理科,生态学（菁英班）（少数民族线）,0,326,326,0,（少数民族线）,本科,理学,生物科学类,普通类,本科一批,无,无
96,云南大学,35,54,2021,文科,汉语言文学,0,534,534,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
97,云南大学,35,54,2021,文科,民族学,0,416,416,0,无,本科,法学,民族学类,普通类,本科一批,无,无
98,云南大学,35,54,2021,文科,民族学（内地西藏班）,0,409,440.50,0,无,本科,法学,民族学类,普通类,本科一批,无,无
99,云南大学,35,54,2021,文科,社会工作（内地西藏班）,0,378,378,0,无,本科,法学,社会学类,普通类,本科一批,无,无
100,云南大学,35,54,2021,理科,计算机类,0,541,541,0,无,本科,工学,计算机类,普通类,本科一批,无,无
101,云南大学,35,54,2021,理科,电子信息类,0,538,538,0,无,本科,工学,电子信息类,普通类,本科一批,无,无
102,云南大学,35,54,2021,理科,城乡规划,0,535,535,0,无,本科,工学,建筑类,普通类,本科一批,无,无
103,云南大学,35,54,2021,理科,生态学,0,529,529,0,无,本科,理学,生物科学类,普通类,本科一批,无,无
104,云南大学,35,54,2021,理科,生态学（内地西藏班）,0,352,384,0,无,本科,理学,生物科学类,普通类,本科一批,无,无
105,云南大学,35,54,2022,理科,电子信息类,477,477,477,0,无,本科,工学,电子信息类,普通类,本科一批,无,无
106,云南大学,35,54,2022,理科,计算机类,477,477,477,0,无,本科,工学,计算机类,普通类,本科一批,无,无
107,云南大学,35,54,2022,理科,生物技术（国家生命科学与技术基地班）,462,462,462,0,无,本科,理学,生物科学类,普通类,本科一批,无,无
108,云南大学,35,54,2022,理科,生态学（内地西藏班）,0,365,396.33,0,（内地西藏班）,本科,理学,生物科学类,普通类,本科一批,无,无
109,云南大学,35,54,2022,理科,生态学,317,317,317,0,无,本科,理学,生物科学类,普通类,本科一批,无,无
110,云南大学,35,54,2022,理科,城乡规划,314,314,314,0,无,本科,工学,建筑类,普通类,本科一批,无,无
111,云南大学,35,54,2022,文科,民族学（内地西藏班）,438,433,435.50,0,（内地西藏班）,本科,法学,民族学类,普通类,本科一批,无,无
112,云南大学,35,54,2022,文科,民族学,373,373,373,0,无,本科,法学,民族学类,普通类,本科一批,无,无
113,南京信息工程大学,166,54,2022,理科,大气科学（内高班）,0,483,506,0,无,本科,理学,大气科学类,普通类,本科一批,无,无
114,南京信息工程大学,166,54,2022,理科,电子信息类（汉族）,460,460,460,0,无,本科,工学,电子信息类,普通类,本科一批,无,无
115,南京信息工程大学,166,54,2022,理科,工商管理类（汉族）,452,452,452,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
116,南京信息工程大学,166,54,2022,理科,计算机类,479,451,465,0,无,本科,工学,计算机类,普通类,本科一批,无,无
117,南京信息工程大学,166,54,2022,理科,大气科学类（汉族）,0,445,463,0,无,本科,理学,大气科学类,普通类,本科一批,无,无
118,南京信息工程大学,166,54,2022,理科,应用气象学（汉族）,445,445,445,0,无,本科,理学,大气科学类,普通类,本科一批,无,无
119,南京信息工程大学,166,54,2022,理科,应用气象学（内高班）,445,430,438,0,无,本科,理学,大气科学类,普通类,本科一批,无,无
120,南京信息工程大学,166,54,2022,理科,防灾减灾科学与工程（内高班）,420,420,420,0,无,本科,理学,地球物理学类,普通类,本科一批,无,无
121,南京信息工程大学,166,54,2022,理科,应急管理（内高班）,417,417,417,0,无,本科,管理学,管理科学与工程类,普通类,本科一批,无,无
122,南京信息工程大学,166,54,2022,理科,大气科学（定向专业）,408,408,408,0,无,本科,理学,大气科学类,普通类,本科一批,无,无
123,南京信息工程大学,166,54,2022,理科,电子信息类（少数民族）,381,381,381,0,无,本科,工学,电子信息类,普通类,本科一批,无,无
124,南京信息工程大学,166,54,2022,理科,地理科学类,395,375,386,0,无,本科,理学,地理科学类,普通类,本科一批,无,无
125,南京信息工程大学,166,54,2022,理科,应用气象学（少数民族）,338,338,338,0,无,本科,理学,大气科学类,普通类,本科一批,无,无
126,南京信息工程大学,166,54,2022,理科,大气科学类（少数民族）,0,333,359,0,无,本科,理学,大气科学类,普通类,本科一批,无,无
127,南京信息工程大学,166,54,2022,理科,光电信息科学与工程,331,325,328,0,无,本科,工学,电子信息类,普通类,本科一批,无,无
128,南京信息工程大学,166,54,2022,理科,工商管理类（少数民族）,319,319,319,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
129,南京信息工程大学,166,54,2022,理科,应用物理学,512,498,505,0,无,本科,理学,物理学类,普通类,国家专项计划本科批,无,无
130,南京信息工程大学,166,54,2022,理科,遥感科学与技术,0,478,502,0,无,本科,工学,测绘类,普通类,国家专项计划本科批,无,无
131,南京信息工程大学,166,54,2022,理科,应用统计学,484,478,481,0,无,本科,理学,统计学类,普通类,国家专项计划本科批,无,无
132,南京信息工程大学,166,54,2022,理科,生态学,463,461,462,0,无,本科,理学,生物科学类,普通类,国家专项计划本科批,无,无
133,南京信息工程大学,166,54,2022,理科,防灾减灾科学与工程（汉族）,448,448,448,0,无,本科,理学,地球物理学类,普通类,国家专项计划本科批,无,无
134,南京信息工程大学,166,54,2022,理科,防灾减灾科学与工程（少数民族）,356,356,356,0,无,本科,理学,地球物理学类,普通类,国家专项计划本科批,无,无
135,南京信息工程大学,166,54,2022,理科,材料物理,350,343,347,0,无,本科,工学,材料类,普通类,国家专项计划本科批,无,无
136,南京信息工程大学,166,54,2022,理科,农业资源与环境,339,337,338,0,无,本科,农学,自然保护与环境生态类,普通类,国家专项计划本科批,无,无
137,南京信息工程大学,166,54,2022,理科,给排水科学与工程,337,335,336,0,无,本科,工学,土木类,普通类,国家专项计划本科批,无,无
138,南京信息工程大学,166,54,2022,理科,安全工程,346,333,340,0,无,本科,工学,安全科学与工程类,普通类,国家专项计划本科批,无,无
139,南京信息工程大学,166,54,2022,文科,汉语国际教育（汉族）,513,513,513,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
140,南京信息工程大学,166,54,2022,文科,汉语言文学（汉族）,499,499,499,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
141,南京信息工程大学,166,54,2022,文科,工商管理类,478,468,472,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
142,南京信息工程大学,166,54,2022,文科,法学（汉族）,467,467,467,0,无,本科,法学,法学类,普通类,本科一批,无,无
143,南京信息工程大学,166,54,2022,文科,汉语言文学（少数民族）,375,375,375,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
144,南京信息工程大学,166,54,2022,文科,法学（少数民族）,372,372,372,0,无,本科,法学,法学类,普通类,本科一批,无,无
145,南京信息工程大学,166,54,2022,文科,行政管理,408,371,390,0,无,本科,管理学,公共管理类,普通类,本科一批,无,无
146,南京信息工程大学,166,54,2022,文科,汉语国际教育（少数民族）,370,370,370,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
147,南京信息工程大学,166,54,2022,文科,翻译,376,367,372,0,无,本科,文学,外国语言文学类,普通类,本科一批,无,无
148,杭州电子科技大学,159,54,2020,理科,环境工程,549,503,518.33,0,无,本科,工学,环境科学与工程类,普通类,国家专项计划本科批,无,无
149,杭州电子科技大学,159,54,2020,理科,传播学,523,496,509.50,0,无,本科,文学,新闻传播学类,普通类,国家专项计划本科批,无,无
150,杭州电子科技大学,159,54,2020,理科,电子商务,0,326,456,0,无,本科,管理学,电子商务类,普通类,国家专项计划本科批,无,无
151,杭州电子科技大学,159,54,2020,文科,传播学,528,527,527.67,0,无,本科,文学,新闻传播学类,普通类,本科一批,无,无
152,杭州电子科技大学,159,54,2020,文科,社会学,521,360,455.60,0,无,本科,法学,社会学类,普通类,本科一批,无,无
153,杭州电子科技大学,159,54,2020,理科,管理科学与工程类,579,573,576,0,无,本科,管理学,管理科学与工程类,普通类,本科一批,无,无
154,杭州电子科技大学,159,54,2020,理科,经济学类,577,573,575.50,0,无,本科,经济学,经济学类,普通类,本科一批,无,无
155,杭州电子科技大学,159,54,2020,理科,电子商务,574,569,571.50,0,无,本科,管理学,电子商务类,普通类,本科一批,无,无
156,杭州电子科技大学,159,54,2020,理科,材料科学与工程,578,568,574,0,无,本科,工学,材料类,普通类,本科一批,无,无
157,杭州电子科技大学,159,54,2020,理科,传播学,566,558,563,0,无,本科,文学,新闻传播学类,普通类,本科一批,无,无
158,杭州电子科技大学,159,54,2020,理科,工业工程,0,363,511.75,0,无,本科,管理学,工业工程类,普通类,本科一批,无,无
159,杭州电子科技大学,159,54,2020,理科,汉语国际教育,364,342,353,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
160,杭州电子科技大学,159,54,2020,理科,社会学,562,0,505,0,无,本科,法学,社会学类,普通类,本科一批,无,无
161,湘潭大学,385,54,2020,文科,汉语言文学,385,385,385,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
162,湘潭大学,385,54,2020,理科,信用风险管理与法律防控,532,532,532,0,无,本科,法学,法学类,普通类,本科一批,无,无
163,湘潭大学,385,54,2020,理科,旅游管理,530,530,530,0,无,本科,管理学,旅游管理类,普通类,本科一批,无,无
164,上海中医药大学,310,54,2022,理科,公共事业管理（卫生管理方向）,420,420,0,0,无,本科,管理学,公共管理类,普通类,本科一批,无,无
165,上海中医药大学,310,54,2022,理科,食品卫生与营养学,380,364,0,0,无,本科,医学,公共卫生与预防医学类,普通类,本科一批,无,无
166,上海中医药大学,310,54,2022,理科,护理学,383,363,0,0,无,本科,医学,护理学类,普通类,本科一批,无,无
167,上海中医药大学,310,54,2022,理科,中药学,0,361,0,0,无,本科,医学,中药学类,普通类,本科一批,无,无
168,重庆医科大学,178,54,2020,理科,临床医学,612,612,612,0,无,本科,医学,临床医学类,普通类,本科一批,无,无
169,重庆医科大学,178,54,2020,理科,药学,598,598,598,0,无,本科,医学,药学类,普通类,本科一批,无,无
170,重庆医科大学,178,54,2020,理科,卫生检验与检疫,450,450,450,0,无,本科,医学,医学技术类,普通类,本科一批,无,无
171,重庆医科大学,178,54,2020,理科,医学影像学,432,432,432,0,无,本科,医学,临床医学类,普通类,本科一批,无,无
172,重庆医科大学,178,54,2020,理科,预防医学,431,431,431,0,无,本科,医学,公共卫生与预防医学类,普通类,本科一批,无,无
173,重庆医科大学,178,54,2020,理科,医学检验技术,416,416,416,0,无,本科,医学,医学技术类,普通类,本科一批,无,无
174,重庆医科大学,178,54,2021,理科,临床医学,553,553,553,0,无,本科,医学,临床医学类,普通类,本科一批,无,无
175,重庆医科大学,178,54,2021,理科,预防医学,539,539,539,0,无,本科,医学,公共卫生与预防医学类,普通类,本科一批,无,无
176,重庆医科大学,178,54,2021,理科,医学影像学,526,526,526,0,无,本科,医学,临床医学类,普通类,本科一批,无,无
177,重庆医科大学,178,54,2021,理科,卫生检验与检疫,518,518,518,0,无,本科,医学,医学技术类,普通类,本科一批,无,无
178,重庆医科大学,178,54,2021,理科,药学,515,515,515,0,无,本科,医学,药学类,普通类,本科一批,无,无
179,重庆医科大学,178,54,2021,理科,医学检验技术,416,416,416,0,无,本科,医学,医学技术类,普通类,本科一批,无,无
180,重庆医科大学,178,54,2021,理科,护理学,414,414,414,0,无,本科,医学,护理学类,普通类,本科一批,无,无
181,重庆医科大学,178,54,2021,理科,药物制剂,405,405,405,0,无,本科,医学,药学类,普通类,本科一批,无,无
182,重庆医科大学,178,54,2022,理科,临床医学,576,576,576,0,无,本科,医学,临床医学类,普通类,本科一批,无,无
183,重庆医科大学,178,54,2022,理科,医学检验技术,556,556,556,0,无,本科,医学,医学技术类,普通类,本科一批,无,无
184,重庆医科大学,178,54,2022,理科,卫生检验与检疫,545,545,545,0,无,本科,医学,医学技术类,普通类,本科一批,无,无
185,重庆医科大学,178,54,2022,理科,精神医学,0,524,548,0,无,本科,医学,临床医学类,普通类,本科一批,无,无
186,重庆医科大学,178,54,2022,理科,药物制剂（藏族）,452,452,452,0,（藏族）,本科,医学,药学类,普通类,本科一批,无,无
187,重庆医科大学,178,54,2022,理科,护理学（藏族）,417,417,417,0,（藏族）,本科,医学,护理学类,普通类,本科一批,无,无
188,重庆医科大学,178,54,2022,理科,药学（藏族）,402,402,402,0,（藏族）,本科,医学,药学类,普通类,本科一批,无,无
189,山西大学,262,54,2022,理科,电气工程及其自动化,459,440,0,0,无,本科,工学,电气类,普通类,本科一批,无,无
190,山西大学,262,54,2022,理科,自动化,439,439,0,0,无,本科,工学,自动化类,普通类,本科一批,无,无
191,山西大学,262,54,2022,理科,机械电子工程,427,427,0,0,无,本科,工学,机械类,普通类,本科一批,无,无
192,山西大学,262,54,2022,理科,能源动力类,422,422,0,0,无,本科,工学,能源动力类,普通类,本科一批,无,无
193,太原理工大学,139,54,2022,理科,测绘工程,470,470,470,0,无,本科,工学,测绘类,普通类,本科一批,无,无
194,太原理工大学,139,54,2022,理科,国际经济与贸易,444,444,444,0,无,本科,经济学,经济与贸易类,普通类,本科一批,无,无
195,太原理工大学,139,54,2022,理科,采矿工程,436,436,436,0,无,本科,工学,矿业类,普通类,本科一批,无,无
196,太原理工大学,139,54,2022,理科,数学与应用数学,436,436,436,0,无,本科,理学,数学类,普通类,本科一批,无,无
197,太原理工大学,139,54,2022,理科,制药工程,404.50,404.50,404.50,0,无,本科,工学,化工与制药类,普通类,本科一批,无,无
198,海南大学,504,54,2021,理科,工商管理,510,509,509,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
199,海南大学,504,54,2021,文科,汉语言文学,560,395,477,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
200,海南大学,504,54,2022,理科,数据科学与大数据技术,495,495,495,0,无,本科,工学,计算机类,普通类,本科一批,无,无
201,海南大学,504,54,2022,理科,工商管理,324,324,324,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
202,海南大学,504,54,2022,文科,汉语言文学,0,390,443,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
203,河北医科大学,596,54,2021,理科,公共卫生与预防医学类,419,339,366,0,无,本科,医学,公共卫生与预防医学类,普通类,本科一批,无,无
204,河北医科大学,596,54,2021,理科,药学类,357,326,338,0,无,本科,医学,药学类,普通类,本科一批,无,无
205,河北医科大学,596,54,2021,理科,护理学类,339,325,329,0,无,本科,医学,护理学类,普通类,本科一批,无,无
206,首都经济贸易大学,875,54,2021,理科,法学,553,527,540,0,无,本科,法学,法学类,普通类,本科一批,无,无
207,首都经济贸易大学,875,54,2021,文科,新闻传播学类,532,397,464.50,0,无,本科,文学,新闻传播学类,普通类,本科一批,无,无
208,辽宁大学,50,54,2020,文科,行政管理,550,378,496,0,无,本科,管理学,公共管理类,普通类,国家专项计划本科批,无,无
209,辽宁大学,50,54,2020,文科,法学,553,541,546.88,0,无,本科,法学,法学类,普通类,本科一批,无,无
210,辽宁大学,50,54,2020,文科,工商管理类（工商管理、市场营销、人力资源管理）,550,400,525.38,0,无,本科,管理学,工商管理类,普通类,本科一批,无,无
211,辽宁大学,50,54,2020,文科,汉语言文学,549,390,488.12,0,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
212,湖北工业大学,433,54,2021,理科,城乡规划（汉族）,425,425,425,0,无,本科,工学,建筑类,普通类,本科一批,无,无
213,湖北工业大学,433,54,2021,理科,风景园林（汉族）,457,423,438,0,无,本科,工学,建筑类,普通类,本科一批,无,无
214,湖北工业大学,433,54,2021,理科,建筑学（汉族）,436,418,427,0,无,本科,工学,建筑类,普通类,本科一批,无,无
215,湖北工业大学,433,54,2021,理科,城乡规划（少数民族）,317,317,317,0,无,本科,工学,建筑类,普通类,本科一批,无,无
216,湖北工业大学,433,54,2021,文科,国际经济与贸易（师资）（汉族）,483,480,481.50,0,无,本科,经济学,经济与贸易类,普通类,本科一批,无,无
217,湖北工业大学,433,54,2021,文科,国际经济与贸易（师资）（少数民族）,367,367,367,0,无,本科,经济学,经济与贸易类,普通类,本科一批,无,无
218,湖北工业大学,433,54,2022,文科,国际经济与贸易（师资）（汉族）,436,436,436,0,（汉族）,本科,经济学,经济与贸易类,普通类,本科一批,无,无
219,湖北工业大学,433,54,2022,文科,国际经济与贸易（师资）（少数民族）,344,344,344,0,（少数民族）,本科,经济学,经济与贸易类,普通类,本科一批,无,无
220,武汉工程大学,434,54,2022,文科,法学类（含法学、法学（涉外法务方向））（汉族）,461,461,461,0,（含法学、法学（涉外法务方向））（汉族）,本科,法学,法学类,普通类,本科一批,无,无
221,武汉工程大学,434,54,2022,文科,会计学（含大数据会计、智能财务方向）（少数民族）,359,359,359,0,（含大数据会计、智能财务方向）（少数民族）,本科,管理学,工商管理类,普通类,本科一批,无,无
222,武汉工程大学,434,54,2022,文科,法学类（含法学、法学（涉外法务方向））（少数民族）,352,352,352,0,（含法学、法学（涉外法务方向））（少数民族）,本科,法学,法学类,普通类,本科一批,无,无
223,武汉工程大学,434,54,2022,文科,行政管理（含大数据与政府治理、人事与行政方向）（少数民族）,348,348,348,0,（含大数据与政府治理、人事与行政方向）（少数民族）,本科,管理学,公共管理类,普通类,本科一批,无,无
224,长春理工大学,379,54,2020,理科,计算机科学与技术,529,524,526.50,1270,无,本科,工学,计算机类,普通类,本科一批,无,无
225,长春理工大学,379,54,2020,理科,机械设计制造及其自动化,520,520,520,1321,无,本科,工学,机械类,普通类,本科一批,无,无
226,长春理工大学,379,54,2020,理科,工商管理类,524,327,425.50,1879,无,本科,管理学,工商管理类,普通类,本科一批,无,无
227,长春理工大学,379,54,2020,文科,广告学,488,488,488,725,无,本科,文学,新闻传播学类,普通类,本科一批,无,无
228,长春理工大学,379,54,2020,文科,法学,497,486,491.50,751,无,本科,法学,法学类,普通类,本科一批,无,无
229,长春理工大学,379,54,2020,文科,汉语言文学,497,369,459.80,525,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
230,长春理工大学,379,54,2020,文科,汉语国际教育,490,359,445,746,无,本科,文学,中国语言文学类,普通类,本科一批,无,无
231,黑龙江大学,421,54,2020,理科,旅游管理,348,325,337.50,0,无,本科,管理学,旅游管理类,普通类,本科一批,无,无
232,黑龙江大学,421,54,2020,文科,法学,518,503,511.50,0,无,本科,法学,法学类,普通类,本科一批,无,无
233,黑龙江大学,421,54,2020,文科,行政管理,504,377,440.50,0,无,本科,管理学,公共管理类,普通类,本科一批,无,无
